,City,State,AvgRent
0,Akron,OH,670.0
1,Albuquerque,NM,1063.0
2,Allentown,PA,1033.0
3,Anaheim,CA,2302.6
4,Atlanta,GA,1643.7333333333333
5,Augusta,GA,955.0
6,Austin,TX,1652.892857142857
7,Bakersfield,CA,1290.25
8,Baltimore,MD,1358.909090909091
9,Baton Rouge,LA,1149.0
10,Birmingham,AL,966.0
11,Boise,ID,1370.5
12,Boston,MA,2817.181818181818
13,Boulder,CO,2252.3333333333335
14,Buffalo,NY,1108.5
15,Charleston,SC,1758.8333333333333
16,Charlotte,NC,1442.0454545454545
17,Chattanooga,TN,1473.0
18,Chicago,IL,1586.7948717948718
19,Cincinnati,OH,1138.4
20,Cleveland,OH,0.0
21,Colorado Springs,CO,1483.4666666666667
22,Columbia,SC,1143.4
23,Columbus,OH,1166.7142857142858
24,Dallas,TX,1464.095238095238
25,Dayton,OH,753.0
26,Denver,CO,1747.95
27,Des Moines,IA,826.0
28,Detroit,MI,825.0
29,Durham,NC,1395.8333333333333
30,El Paso,TX,1030.0
31,Fort Collins,CO,1600.0
32,Fort Lauderdale,FL,1929.75
33,Fort Worth,TX,1500.6666666666667
34,Fresno,CA,1323.0
35,Grand Rapids,MI,1230.5
36,Greeley,CO,1445.0
37,Hartford,CT,1119.0
38,Honolulu,HI,1987.142857142857
39,Houston,TX,1490.0232558139535
40,Indianapolis,IN,1173.142857142857
41,Irvine,CA,2940.8571428571427
42,Jackson,MS,717.0
43,Jacksonville,FL,1295.0434782608695
44,Kansas City,MO,1122.4285714285713
45,Knoxville,TN,1172.0
46,Lakeland,FL,1176.0
47,Las Vegas,NV,1428.1764705882354
48,Little Rock,AR,895.0
49,Long Beach,CA,1939.125
50,Los Angeles,CA,2499.230769230769
51,Louisville,KY,960.8
52,Madison,WI,1276.8
53,Memphis,TN,1117.2307692307693
54,Miami,FL,1933.6923076923076
55,Milwaukee,WI,959.5
56,Minneapolis,MN,1571.25
57,Nashville,TN,1635.3076923076924
58,New Haven,CT,1310.75
59,New Orleans,LA,1500.8333333333333
60,New York,NY,2309.4117647058824
61,Oklahoma City,OK,1175.888888888889
62,Omaha,NE,1074.1666666666667
63,Orlando,FL,1500.4615384615386
64,Philadelphia,PA,1507.28
65,Phoenix,AZ,1424.5405405405406
66,Pittsburgh,PA,1291.2857142857142
67,Portland,OR,1621.0714285714287
68,Providence,RI,1689.3333333333333
69,Provo,UT,1070.0
70,Raleigh,NC,1430.0
71,Richmond,VA,1283.375
72,Riverside,CA,1838.6
73,Rochester,NY,1036.0
74,Sacramento,CA,1651.6363636363637
75,Salt Lake City,UT,1248.0
76,San Antonio,TX,1273.8181818181818
77,San Diego,CA,2323.0384615384614
78,San Francisco,CA,3640.285714285714
79,San Jose,CA,3097.4545454545455
80,Seattle,WA,2048.782608695652
81,Spokane,WA,1099.5
82,St. Louis,MO,1018.4
83,St. Paul,MN,1421.1666666666667
84,Stamford,CT,2303.5
85,Stockton,CA,1620.5
86,Syracuse,NY,1275.0
87,Tampa,FL,1596.090909090909
88,Toledo,OH,809.5
89,Tucson,AZ,1132.1818181818182
90,Tulsa,OK,1004.0
91,Ventura,CA,2104.5
92,Virginia Beach,VA,1497.5
93,Washington,DC,2285.5882352941176
94,West Palm Beach,FL,1509.25
95,Wichita,KS,833.0
96,Winston-Salem,NC,1167.25
97,Worcester,MA,1414.0
